algo,k,frac,m,seed,r1,r2,r3
random,8,0.1,8337,3,0.9942861453084714,0.9920449652547414,1.0012551066361068
random,8,0.1,8337,4,0.9999599367308615,0.9958920775845489,1.0019414003125067
lightweight,8,0.25,20843,0,0.9987449479676858,0.9966310764098109,1.0009326738045892
lightweight,8,0.25,20843,1,0.9930041128253747,0.9911022128094366,1.001033798495649
lightweight,8,0.25,20843,2,1.0031143374360632,1.0011136405538283,1.001159057749914
lightweight,8,0.25,20843,3,1.0063751438893582,1.0041820009821212,1.001055816811287
lightweight,8,0.25,20843,4,0.9972214246303517,0.9948868975030248,1.000982604665282
random,8,0.25,20843,0,0.9946510127770908,0.9934411959210214,1.0008079582662603
random,8,0.25,20843,1,1.0123865576055062,1.0101710613349535,1.0013735480272117
random,8,0.25,20843,2,0.9954356946394153,0.9941902388011443,1.0007435492499919
random,8,0.25,20843,3,0.9942046752868122,0.9930809820392482,1.0005939354428894
random,8,0.25,20843,4,0.995907990601854,0.9942217892135202,1.0007387572938395
lightweight,8,0.5,41686,0,0.9966649192878724,0.9958835516004424,1.0003409231739802
lightweight,8,0.5,41686,1,1.0016718444883719,1.0009338564164045,1.00043001963596
lightweight,8,0.5,41686,2,1.001724395413224,1.0009580204167794,1.00042701893808
lightweight,8,0.5,41686,3,1.00536163082034,1.0047362073969475,1.000290687263833
lightweight,8,0.5,41686,4,0.9989145385809235,0.9982356153340706,1.0003174827835086
random,8,0.5,41686,0,0.9993901060457827,0.9990300760900381,1.0001821956883843
random,8,0.5,41686,1,1.0037296143993837,1.0025995528766485,1.000741663611932
random,8,0.5,41686,2,0.9982377411496564,0.9978557827960145,1.0002560537053413
random,8,0.5,41686,3,0.9987447406532289,0.9984647572802964,1.0002021226967448
random,8,0.5,41686,4,0.9963957121113715,0.995945504087658,1.0002448619372397
lightweight,16,0.0025,208,0,1.079905420106316,0.7358019498668877,1.1828849357063738
lightweight,16,0.0025,208,1,0.9787200213915559,0.7480413385924568,1.1195700109600741
lightweight,16,0.0025,208,2,0.9509035515278488,0.7056393051636227,1.0900824890143814
lightweight,16,0.0025,208,3,1.003480976391712,0.6999061372335535,1.1746926089507375
lightweight,16,0.0025,208,4,0.9892921980472817,0.7084332501907017,1.1505132406222338
random,16,0.0025,208,0,0.9464982498910424,0.6863749151094584,1.142441837072543
random,16,0.0025,208,1,1.062108457135651,0.81364685984733,1.1089879287689448
random,16,0.0025,208,2,1.0088722044900738,0.6597088421450935,1.1782433293793195
random,16,0.0025,208,3,0.9548550477751281,0.7153093609038158,1.109508438306066
random,16,0.0025,208,4,1.014527602925963,0.753767032299261,1.129696094141356
lightweight,16,0.005,417,0,1.0315193104759877,0.8455861338655442,1.081566775803116
lightweight,16,0.005,417,1,1.016932618284402,0.8599279217009648,1.1063508063550265
lightweight,16,0.005,417,2,0.9831434139624174,0.7911816569458979,1.0894437071361829
lightweight,16,0.005,417,3,0.9650693423602518,0.8011605656620828,1.091396621031554
lightweight,16,0.005,417,4,1.0185563386647323,0.8753259733549081,1.0609135045761553
random,16,0.005,417,0,0.9598583906241394,0.8348805034727595,1.0744462423735701
random,16,0.005,417,1,1.0107249855831166,0.84879995379935,1.094655199085833
random,16,0.005,417,2,0.9909596131501878,0.785872928882882,1.1025643529472022
random,16,0.005,417,3,0.9531914364617239,0.8237992926187597,1.0564525075223663
random,16,0.005,417,4,1.0217494082840275,0.821204579165778,1.0968689370534295
lightweight,16,0.01,834,0,1.0208645253952813,0.9087969618571193,1.053341504415135
lightweight,16,0.01,834,1,1.0123925671188363,0.9134189267926099,1.0665677757103043
lightweight,16,0.01,834,2,0.999423587020157,0.8940423973744795,1.0424447546811846
lightweight,16,0.01,834,3,0.9791025787526932,0.8832785333997846,1.0410203707746983
lightweight,16,0.01,834,4,1.0115375505208277,0.9194011453158194,1.054769250406715
random,16,0.01,834,0,0.9757452060236329,0.8967075292787592,1.0577249766527026
random,16,0.01,834,1,1.012671953790323,0.9212847121448967,1.048667214275575
random,16,0.01,834,2,0.9997466415388113,0.9050528153335189,1.0496927549302277
random,16,0.01,834,3,0.9804668652599529,0.8676570922893886,1.042502084076684
random,16,0.01,834,4,1.0081811930626288,0.9049116500474929,1.0440844680970163
lightweight,16,0.05,4169,0,0.987442924065176,0.9638265388442527,1.0092684573975932
lightweight,16,0.05,4169,1,0.9998873120344456,0.975330207561021,1.013594058207765
