algo,k,frac,m,seed,center_idx,energy,valence,danceability,acousticness
full,64,,,,44,0.49756226804123704,0.17786164948453598,0.7744577319587629,0.0901452672680412
full,64,,,,45,0.42996333666333664,0.20921238761238764,0.34639960039960044,0.46133966033966034
full,64,,,,46,0.47744668587896255,0.6978770413064361,0.6633006724303554,0.2898668261287224
full,64,,,,47,0.4540972468916519,0.17732859680284196,0.45993428063943165,0.11402586847246887
full,64,,,,48,0.23923148115942028,0.43795144927536234,0.5316768115942029,0.8740369565217392
full,64,,,,49,0.3543589923023093,0.1946685094471659,0.5026934919524143,0.7562260321903427
full,64,,,,50,0.7670566037735849,0.8395209187858901,0.6548917145200984,0.678420016406891
full,64,,,,51,0.5067552775605942,0.3958577013291634,0.6077607505863957,0.1259517903049258
full,64,,,,52,0.8847089100346022,0.6441799307958478,0.6046215397923875,0.05302474748269892
full,64,,,,53,0.8643898734177216,0.473393670886076,0.7343949367088608,0.05973420994303802
full,64,,,,54,0.9002937941869599,0.6070133542812255,0.3435875883739199,0.03475848164179107
full,64,,,,55,0.8661064516129031,0.09200595806451622,0.33787677419354845,0.7326225806451612
full,64,,,,56,0.9415474198047419,0.1047550209205022,0.20258702928870292,0.024901964623431028
full,64,,,,57,0.3843848400556328,0.28147162726008346,0.7639457579972183,0.5128191933240611
full,64,,,,58,0.08129263788819863,0.06409843167701856,0.14905232919254674,0.9221809006211181
full,64,,,,59,0.273848700854701,0.5098709401709401,0.6966213675213675,0.829968376068376
full,64,,,,60,0.11043887293519716,0.1300771918678526,0.3051213468869122,0.9431696315120712
full,64,,,,61,0.5222285714285715,0.8283064935064935,0.8317125541125541,0.11602474389610384
full,64,,,,62,0.6907644970414202,0.7608781065088759,0.44041538461538465,0.6749218934911243
full,64,,,,63,0.760713963963964,0.6299722222222223,0.7113318318318318,0.4030172672672673
lightweight,2,0.0025,208.0,0.0,0,0.35619536281407904,0.2979641043833753,0.4969255225868353,0.7261473168643937
lightweight,2,0.0025,208.0,0.0,1,0.7587671972557997,0.4972809234710395,0.6137005039062302,0.128385135414241
lightweight,2,0.0025,208.0,1.0,0,0.3487064346888177,0.32043042555355483,0.4836580543740503,0.7198258457048474
lightweight,2,0.0025,208.0,1.0,1,0.7797135405950826,0.5098137174100188,0.592002354489289,0.13125149827191895
lightweight,2,0.0025,208.0,2.0,0,0.3511317972068005,0.37466255222965006,0.5046922077821465,0.6865478993418095
lightweight,2,0.0025,208.0,2.0,1,0.7915582392712939,0.4934976137560526,0.5813149802974973,0.13415072079732468
lightweight,2,0.0025,208.0,3.0,0,0.3176614278460905,0.3426847899140134,0.4743367536839881,0.801148071583819
lightweight,2,0.0025,208.0,3.0,1,0.7690629027772306,0.5246306257652429,0.6072393272563211,0.15998347183340783
lightweight,2,0.0025,208.0,4.0,0,0.762825318429028,0.5415290754785762,0.5957523101696004,0.15135751122009736
lightweight,2,0.0025,208.0,4.0,1,0.3113832074977314,0.3237882914384357,0.4918448917962021,0.7781310590098651
random,2,0.0025,208.0,0.0,0,0.7617232704402512,0.48879811320754707,0.5898993710691823,0.13187015377358535
random,2,0.0025,208.0,0.0,1,0.3161957142857145,0.3624020408163266,0.46663265306122453,0.8227346938775508
random,2,0.0025,208.0,1.0,0,0.3792972222222227,0.3407583333333335,0.46530000000000016,0.6981069444444437
random,2,0.0025,208.0,1.0,1,0.7665985294117643,0.49856764705882334,0.6102632352941175,0.12133431183823581
random,2,0.0025,208.0,2.0,0,0.7624610389610386,0.5181805194805194,0.5845454545454545,0.14129265714285766
random,2,0.0025,208.0,2.0,1,0.2656677777777781,0.32492407407407414,0.46858518518518527,0.8052222222222218
random,2,0.0025,208.0,3.0,0,0.7754729729729726,0.5403101351351349,0.5958716216216215,0.15882917864864923
random,2,0.0025,208.0,3.0,1,0.3025183333333338,0.3078753333333335,0.45276333333333346,0.7476209999999996
random,2,0.0025,208.0,4.0,0,0.7532884615384612,0.5065871794871794,0.6019294871794871,0.15099656250000051
random,2,0.0025,208.0,4.0,1,0.3243961538461541,0.3686826923076924,0.4671923076923078,0.7935961538461537
lightweight,2,0.005,417.0,0.0,0,0.7629696122465459,0.5186065134100772,0.6039881614073873,0.14236566105794435
lightweight,2,0.005,417.0,0.0,1,0.34103473711221066,0.34127859039629227,0.49366118680244203,0.7516491056102079
lightweight,2,0.005,417.0,1.0,0,0.7536071510138838,0.5324403922721703,0.6156871598780631,0.1519927378443523
lightweight,2,0.005,417.0,1.0,1,0.3502465095009348,0.3509015407324754,0.4781020759914099,0.7412879499207942
lightweight,2,0.005,417.0,2.0,0,0.7688379017335942,0.5235183646793766,0.5980098132090733,0.14125462595599964
lightweight,2,0.005,417.0,2.0,1,0.36713236530101223,0.3619150273579868,0.4816490003047766,0.7220335060992746
lightweight,2,0.005,417.0,3.0,0,0.3256547023550814,0.3301319484275089,0.4753766725840818,0.7940864881516858
lightweight,2,0.005,417.0,3.0,1,0.7632239963583662,0.5262919413103427,0.6050112367566303,0.15143335464370541
lightweight,2,0.005,417.0,4.0,0,0.3574366490159142,0.3358874314735615,0.48404335406347426,0.7105040424585735
lightweight,2,0.005,417.0,4.0,1,0.7587387406685804,0.5340155441401149,0.5971336803547411,0.14904214334785323
random,2,0.005,417.0,0.0,0,0.7618765822784813,0.4947294620253166,0.5930702531645571,0.14751082563291104
random,2,0.005,417.0,0.0,1,0.2899511881188116,0.32902277227722765,0.43577326732673255,0.8215946603960402
random,2,0.005,417.0,1.0,0,0.34597913669064717,0.3301999999999998,0.4548323741007193,0.747314388489209
random,2,0.005,417.0,1.0,1,0.7678827338129499,0.48233741007194253,0.6004093525179857,0.12634890884892036
random,2,0.005,417.0,2.0,0,0.7706454849498331,0.4985591973244148,0.5782474916387961,0.13247604066889593
random,2,0.005,417.0,2.0,1,0.27994463559322,0.3184161016949152,0.46726355932203384,0.7869144067796613
random,2,0.005,417.0,3.0,0,0.2907380165289254,0.2870836363636363,0.44285867768595033,0.7584401652892566
random,2,0.005,417.0,3.0,1,0.761121621621622,0.5475405405405407,0.6051283783783785,0.17327635064189145
random,2,0.005,417.0,4.0,0,0.7690789473684213,0.5176013157894738,0.5928322368421053,0.14829608026315755
random,2,0.005,417.0,4.0,1,0.32705601769911485,0.356762831858407,0.46327787610619464,0.763853008849558
lightweight,2,0.01,834.0,0.0,0,0.7767762757576899,0.5089850314291166,0.5894690440088318,0.12968853340105274
lightweight,2,0.01,834.0,0.0,1,0.35649448243514575,0.3639889935673774,0.5089376123505105,0.7326855826022365
lightweight,2,0.01,834.0,1.0,0,0.3367009315792592,0.34757619040947585,0.4714916369963015,0.736801916336626
lightweight,2,0.01,834.0,1.0,1,0.7620903087434603,0.5313865116165564,0.6190565368200046,0.15273223396775182
lightweight,2,0.01,834.0,2.0,0,0.7639758894293958,0.5104867195036379,0.5894417687177235,0.14531135164842104
lightweight,2,0.01,834.0,2.0,1,0.35856685644738695,0.36448641878250815,0.4742588143290145,0.747624636175019
lightweight,2,0.01,834.0,3.0,0,0.7640537739805088,0.5251378994167657,0.6047992404576876,0.15176902171237447
lightweight,2,0.01,834.0,3.0,1,0.3231231083284493,0.31947679307783783,0.46390696428638306,0.7651733339734553
lightweight,2,0.01,834.0,4.0,0,0.35125091869735203,0.34066007154887573,0.48098251678436565,0.7336580388588811
lightweight,2,0.01,834.0,4.0,1,0.7610573068249392,0.5204155346262014,0.59453569156653,0.14860459358303066
random,2,0.01,834.0,0.0,0,0.7675980230642507,0.5201855518945635,0.5972408566721582,0.1495398724711693
random,2,0.01,834.0,0.0,1,0.3070429955947133,0.3309176211453744,0.473853744493392,0.7902421176211458
random,2,0.01,834.0,1.0,0,0.7613534391534394,0.49199171075837755,0.6001072310405645,0.14064433067019352
random,2,0.01,834.0,1.0,1,0.3591109363295875,0.34273670411985,0.47097415730337067,0.7466037453183526
random,2,0.01,834.0,2.0,0,0.7650980735551667,0.5109958143607707,0.5847556917688267,0.1389941256217158
random,2,0.01,834.0,2.0,1,0.3018478212927752,0.3591395057034219,0.47747224334600746,0.7877486692015214
random,2,0.01,834.0,3.0,0,0.7706480541455165,0.5358321489001694,0.598761421319797,0.16422339901861208
random,2,0.01,834.0,3.0,1,0.30501679012345645,0.31514617283950597,0.4476378600823044,0.7486739094650211
random,2,0.01,834.0,4.0,0,0.32047427234042514,0.3256557446808509,0.45503744680851055,0.7621991063829793
random,2,0.01,834.0,4.0,1,0.7664874791318868,0.517284140233723,0.5974140233722872,0.16217783569282096
lightweight,2,0.05,4169.0,0.0,0,0.3340789682325183,0.337441173752717,0.4741060775333298,0.7430456628301041
lightweight,2,0.05,4169.0,0.0,1,0.7638636278028782,0.5144868241418223,0.5998497595440977,0.1467463342374508
lightweight,2,0.05,4169.0,1.0,0,0.3282135345152534,0.3301479783041975,0.46890422013654626,0.7421640258001336
lightweight,2,0.05,4169.0,1.0,1,0.7620285298312672,0.5279722475276962,0.6042542643800324,0.1547933321775498
lightweight,2,0.05,4169.0,2.0,0,0.7650238031986052,0.5106034112664622,0.5928098318393091,0.13989300072792357
lightweight,2,0.05,4169.0,2.0,1,0.34622152684656304,0.34132770856210426,0.47764338480975854,0.7304745444001968
lightweight,2,0.05,4169.0,3.0,0,0.33173662845880914,0.3345799120357943,0.481885846137657,0.7476612649924956
