algo,k,frac,m,seed,r1,r2,r3
random,4,0.05,10375,4,0.9910333166137726,0.9900228438166179,1.0005385436459808
lightweight,4,0.1,20750,0,1.0051125818458921,1.0046306992314327,1.0002325692962364
lightweight,4,0.1,20750,1,0.9962338001309159,0.9958881013355564,1.0001738349397864
lightweight,4,0.1,20750,2,1.002360083761132,1.001805292709886,1.0003068240899495
lightweight,4,0.1,20750,3,0.9902630774544018,0.9897645317996135,1.0002700257378871
lightweight,4,0.1,20750,4,0.9949432529112022,0.9943112360320164,1.0003266445791903
random,4,0.1,20750,0,0.9867656363367181,0.9861712372475046,1.0002978879810855
random,4,0.1,20750,1,0.9904177661191566,0.9895408390341552,1.0004621888304583
random,4,0.1,20750,2,1.0017934868472294,1.000412096943065,1.0006537113830791
random,4,0.1,20750,3,1.0281918100675076,1.0278316789210011,1.0001835697897266
random,4,0.1,20750,4,0.9823428054730777,0.9817564562836459,1.0003488829862108
lightweight,4,0.25,51876,0,1.000823717852173,1.0007331578952563,1.0000474105873531
lightweight,4,0.25,51876,1,0.9911394534399183,0.9910268253267578,1.000059259825353
lightweight,4,0.25,51876,2,0.9984891833907947,0.9982644758992723,1.0001464440794967
lightweight,4,0.25,51876,3,0.997921614310081,0.9977489032831375,1.0000929571030257
lightweight,4,0.25,51876,4,1.0019162921916465,1.001249664782472,1.000279597025457
random,4,0.25,51876,0,0.9958119999259084,0.9954205257357246,1.0001654941563538
random,4,0.25,51876,1,0.9883428481016386,0.98820441721993,1.0000672042570335
random,4,0.25,51876,2,0.9877933775446895,0.9875086144873764,1.0001795673691
random,4,0.25,51876,3,0.997597563694242,0.9974362434616533,1.0000908774895927
random,4,0.25,51876,4,0.9955436680699125,0.9953155826871074,1.0001020652830146
lightweight,4,0.5,103752,0,1.0019964711021,1.0019243192540381,1.000042983154008
lightweight,4,0.5,103752,1,0.994768541894998,0.9947099722352215,1.0000399486203015
lightweight,4,0.5,103752,2,0.9974004883763615,0.9972636648644878,1.000061070603243
lightweight,4,0.5,103752,3,1.0012118137347576,1.001140888499197,1.0000557441888005
lightweight,4,0.5,103752,4,1.000703304460011,1.0004344634683318,1.00013565530339
random,4,0.5,103752,0,0.9990636482462057,0.9990005332597485,1.0000346852704205
random,4,0.5,103752,1,0.9935104075203062,0.9934861377039597,1.0000144226117513
random,4,0.5,103752,2,0.9907186324067073,0.990630224056366,1.0000396348215588
random,4,0.5,103752,3,1.00091557048801,1.0009062394811064,1.0000084365724646
random,4,0.5,103752,4,1.0029718577699605,1.0029488738441843,1.0000041411515201
lightweight,8,0.0025,519,0,0.9561734302750591,0.9095530409126925,1.0229016940908338
lightweight,8,0.0025,519,1,0.9674878328771628,0.909171900626427,1.0261979459194477
lightweight,8,0.0025,519,2,1.0372561289243794,0.9890674979067284,1.029006885971174
lightweight,8,0.0025,519,3,1.052807661894074,0.9085482315441543,1.0948687754041653
lightweight,8,0.0025,519,4,1.0239874227553778,0.9154599408096145,1.074440923794049
random,8,0.0025,519,0,1.0539476336719316,0.9477158364915723,1.0588963221032948
random,8,0.0025,519,1,1.341551522503944,0.9190350829047512,1.0718721687623909
random,8,0.0025,519,2,1.0141382682274374,0.8902547608805428,1.0566073587411287
random,8,0.0025,519,3,1.115585366266704,0.9805193013821922,1.07447009901928
random,8,0.0025,519,4,0.9783045822174302,0.922420454119785,1.0583419314201794
lightweight,8,0.005,1038,0,0.9840923792834442,0.9569538763083988,1.0112439351327616
lightweight,8,0.005,1038,1,1.0124887482395113,0.9631713151829608,1.040674108387097
lightweight,8,0.005,1038,2,1.0159192658104963,0.9572003105710996,1.0427306584961475
lightweight,8,0.005,1038,3,1.066232987918418,0.969643111976971,1.0877881492416657
lightweight,8,0.005,1038,4,1.0659646671901741,0.9301938021901685,1.0712937815963
random,8,0.005,1038,0,0.9506323350375911,0.904222281675531,1.0215941633877346
random,8,0.005,1038,1,1.1002950989209506,0.9943623531660526,1.0546444507743424
random,8,0.005,1038,2,0.9609181530484986,0.9301188270065587,1.015980208762372
random,8,0.005,1038,3,0.9398734353001607,0.9269208847927868,1.0069428234217244
random,8,0.005,1038,4,0.9361111134024291,0.9163014300488767,1.0107568441046486
lightweight,8,0.01,2075,0,0.9939028463714623,0.9814589839958187,1.0046407033030418
lightweight,8,0.01,2075,1,0.9797775286035535,0.9713869001896698,1.0070167035378477
lightweight,8,0.01,2075,2,0.9685307236306676,0.9535265177859477,1.009770664176576
lightweight,8,0.01,2075,3,1.0980928748462782,1.0916743828217577,1.0033528916190722
lightweight,8,0.01,2075,4,1.060671444609262,0.9635014788741738,1.0547368719129182
random,8,0.01,2075,0,1.0157876182194645,0.9513294444109858,1.051157901369184
random,8,0.01,2075,1,1.0742497052852,0.9864078806607753,1.0484464926434298
random,8,0.01,2075,2,1.0560429433563676,0.9619444026434725,1.056647260485103
random,8,0.01,2075,3,0.983027690096222,0.9792318377604012,1.0017515707791707
random,8,0.01,2075,4,0.9297934041505661,0.920436460423093,1.0050013349989568
lightweight,8,0.05,10375,0,1.003076122413811,1.0016321818637632,1.0010353987227782
