algo,k,frac,m,seed,center_idx,R,G,B
random,2,0.1,20750.0,2.0,1,173.27947207516206,128.66147192603077,98.87152337633279
random,2,0.1,20750.0,3.0,0,119.56774809160281,66.60564340239884,56.35809705561596
random,2,0.1,20750.0,3.0,1,173.47867899209768,128.7039660056656,98.79141195765611
random,2,0.1,20750.0,4.0,0,119.39217597104249,66.47932618682972,56.14617847695928
random,2,0.1,20750.0,4.0,1,173.31001695290033,128.43406795901808,98.54765239183305
lightweight,2,0.25,51876.0,0.0,0,173.3002302444667,128.6936134189952,98.89167025375774
lightweight,2,0.25,51876.0,0.0,1,119.66864110822388,66.72675458511745,56.48773803813182
lightweight,2,0.25,51876.0,1.0,0,173.28880731442473,128.45777035077907,98.61604816157144
lightweight,2,0.25,51876.0,1.0,1,118.57683694713859,66.17767282160078,56.07843667702703
lightweight,2,0.25,51876.0,2.0,0,173.4166096088275,128.25811975750418,98.357217967054
lightweight,2,0.25,51876.0,2.0,1,118.18026301285397,65.91499315757335,56.03887537622984
lightweight,2,0.25,51876.0,3.0,0,173.4806177842928,128.3628779089204,98.38746583613033
lightweight,2,0.25,51876.0,3.0,1,119.07069137010231,66.68220056410217,56.50561149661189
lightweight,2,0.25,51876.0,4.0,0,121.0862228334969,67.40862755772149,56.577385505947376
lightweight,2,0.25,51876.0,4.0,1,172.91113214103848,128.92338675761914,99.21722131902733
random,2,0.25,51876.0,0.0,0,119.47915053644508,66.49966817829892,56.29659329720164
random,2,0.25,51876.0,0.0,1,173.013996567438,128.2450139077943,98.48058827010713
random,2,0.25,51876.0,1.0,0,173.58766147388332,128.4835791776287,98.54938070885927
random,2,0.25,51876.0,1.0,1,118.75652463013245,66.68244029478583,56.55095029644816
random,2,0.25,51876.0,2.0,0,173.12968214581124,128.32154673283705,98.52735436606403
random,2,0.25,51876.0,2.0,1,119.68669551708831,66.67104971149575,56.53722814025743
random,2,0.25,51876.0,3.0,0,173.4087086471123,128.1474199314326,98.29460544436958
random,2,0.25,51876.0,3.0,1,117.600315510733,65.78229759423071,56.045805397487214
random,2,0.25,51876.0,4.0,0,119.8736842105263,66.87362938596495,56.38278508771931
