algo,k,frac,m,seed,center_idx,longitude,latitude
lightweight,4,0.0025,2498.0,1.0,1,-73.92292298334303,40.79485996084765
lightweight,4,0.0025,2498.0,1.0,2,-73.97793767262068,40.76237987907298
lightweight,4,0.0025,2498.0,1.0,3,-73.95442184085269,40.69248147292408
lightweight,4,0.0025,2498.0,2.0,0,-73.91776133241946,40.795026685526516
lightweight,4,0.0025,2498.0,2.0,1,-73.99444289703804,40.72939567303131
lightweight,4,0.0025,2498.0,2.0,2,-73.96875018486865,40.77142086441431
lightweight,4,0.0025,2498.0,2.0,3,-73.95561009842059,40.692488621337645
lightweight,4,0.0025,2498.0,3.0,0,-73.95660749810696,40.691159215402436
lightweight,4,0.0025,2498.0,3.0,1,-73.92157395311524,40.79757229633366
lightweight,4,0.0025,2498.0,3.0,2,-73.9715861566772,40.76880668001651
lightweight,4,0.0025,2498.0,3.0,3,-73.99443768300608,40.72691670410485
lightweight,4,0.0025,2498.0,4.0,0,-73.99628580144771,40.72371228066882
lightweight,4,0.0025,2498.0,4.0,1,-73.92682044383004,40.793874533472156
lightweight,4,0.0025,2498.0,4.0,2,-73.97686795442443,40.76340703810076
lightweight,4,0.0025,2498.0,4.0,3,-73.95673220644807,40.68909053568743
random,4,0.0025,2498.0,0.0,0,-73.95354246364748,40.693000558419634
random,4,0.0025,2498.0,0.0,1,-73.97753200638178,40.7613075861322
random,4,0.0025,2498.0,0.0,2,-73.927547931031,40.79429549172492
random,4,0.0025,2498.0,0.0,3,-73.9952456530711,40.72413040771657
random,4,0.0025,2498.0,1.0,0,-73.99489125917984,40.72785646384258
random,4,0.0025,2498.0,1.0,1,-73.92106889884667,40.79800314528818
random,4,0.0025,2498.0,1.0,2,-73.9717747603889,40.76876511329469
random,4,0.0025,2498.0,1.0,3,-73.95676168208026,40.69188555235607
random,4,0.0025,2498.0,2.0,0,-73.9295537937454,40.722772583466934
random,4,0.0025,2498.0,2.0,1,-73.99041439296968,40.74049994452313
random,4,0.0025,2498.0,2.0,2,-73.94588937017784,40.799241824493826
random,4,0.0025,2498.0,2.0,3,-73.97608281402816,40.68246592024821
random,4,0.0025,2498.0,3.0,0,-73.94473364297669,40.79486536817597
random,4,0.0025,2498.0,3.0,1,-73.97723651324802,40.682468151315874
random,4,0.0025,2498.0,3.0,2,-73.99034068653758,40.73998852270021
random,4,0.0025,2498.0,3.0,3,-73.93095031551088,40.72035104297501
random,4,0.0025,2498.0,4.0,0,-73.95673885534474,40.69161745170958
random,4,0.0025,2498.0,4.0,1,-73.9706311117258,40.768835580715255
random,4,0.0025,2498.0,4.0,2,-73.9178537666267,40.796074056146956
random,4,0.0025,2498.0,4.0,3,-73.9947359698003,40.72882878557677
lightweight,4,0.005,4997.0,0.0,0,-73.97868930872461,40.76180118251008
lightweight,4,0.005,4997.0,0.0,1,-73.95348339357655,40.69403813545563
lightweight,4,0.005,4997.0,0.0,2,-73.99519002100202,40.722258529831926
lightweight,4,0.005,4997.0,0.0,3,-73.92705511826304,40.79228968675237
lightweight,4,0.005,4997.0,1.0,0,-73.95416615568216,40.69242421329578
