algo,k,frac,m,seed,r1,r2,r3
random,8,0.0025,2498,2,1.0117905615297993,1.0031781553391619,1.0045437780660937
random,8,0.0025,2498,3,0.9945828007051539,0.9865052368380491,1.0048188383593688
random,8,0.0025,2498,4,0.953684027641265,0.9489260285591954,1.0024124096046712
lightweight,8,0.005,4997,0,1.0115216678964034,1.0070181799320728,1.0021659713994249
lightweight,8,0.005,4997,1,0.9950503809350745,0.9923711850487863,1.001559795352954
lightweight,8,0.005,4997,2,1.0036105975239185,0.9990564381239742,1.0040802533885813
lightweight,8,0.005,4997,3,1.0126436432201484,1.0082279354773116,1.002188628493599
lightweight,8,0.005,4997,4,1.0195177926216086,1.0086167565673416,1.0107940708473344
random,8,0.005,4997,0,1.0060380078190894,1.0005015910504487,1.0047781661181503
random,8,0.005,4997,1,0.9817882330435689,0.9749233150652191,1.0030286940999638
random,8,0.005,4997,2,1.0080562484874491,1.0041060030661328,1.001668885808057
random,8,0.005,4997,3,1.0047555068413567,0.9975603159843225,1.0031718398411171
random,8,0.005,4997,4,0.9578349802451509,0.9542952482918419,1.001527228792643
lightweight,8,0.01,9993,0,1.0154123991540298,1.0121181478841998,1.0014817551025152
lightweight,8,0.01,9993,1,1.0039683214869541,1.0024940259326232,1.0009632004296594
lightweight,8,0.01,9993,2,1.0046551912708075,1.0022325509607997,1.001869846701973
lightweight,8,0.01,9993,3,1.005482826188504,1.0031467009809436,1.0011707634135318
lightweight,8,0.01,9993,4,1.0068904500244331,1.0049463649131403,1.0010297838928688
random,8,0.01,9993,0,1.000286690688768,0.9977175820166805,1.0019835766438834
random,8,0.01,9993,1,0.9945700402687428,0.9899589720532938,1.0029829475352612
random,8,0.01,9993,2,1.0032210660600658,0.9994926218870255,1.001725774547221
random,8,0.01,9993,3,0.9897167248490716,0.9854872815388546,1.0020932108933311
random,8,0.01,9993,4,0.9722044732950947,0.97129579929392,1.0004692933285284
lightweight,8,0.05,49966,0,1.0049460644237043,1.0048835785812178,1.0002596028989692
lightweight,8,0.05,49966,1,1.0048633428937066,1.004411210948434,1.0004362319908013
lightweight,8,0.05,49966,2,1.0010071591983902,1.000322196997287,1.0004846768769722
lightweight,8,0.05,49966,3,1.003115046642968,1.0028645979889161,1.000232232813474
lightweight,8,0.05,49966,4,1.0009733125477036,1.0005048309960634,1.0002950001380801
random,8,0.05,49966,0,1.005416591644769,1.0046332102402107,1.0005673318620878
random,8,0.05,49966,1,0.9997072673588485,0.999290041151111,1.0002117400069008
