algo,k,frac,m,seed,center_idx,R,G,B
full,32,,,,2,99.04575041844895,73.22655755997775,60.31831876511043
full,32,,,,3,60.834669274765005,86.49273914060345,51.08774690111182
full,32,,,,4,171.1545857758741,148.8972116249498,124.7883440339941
full,32,,,,5,57.92438281604348,42.345882200479586,33.36489988984653
full,32,,,,6,108.28001297858532,122.57538394981613,133.1095608911961
full,32,,,,7,135.93183793003573,135.90017056608622,91.92639912464196
full,32,,,,8,45.2265034912522,73.62530219986519,43.25534950071414
full,32,,,,9,98.20140701236808,110.44033435455196,66.02942622640775
full,32,,,,10,150.3041200285783,160.14416130824776,168.24974200206395
full,32,,,,11,129.78894964919522,142.04539826661164,150.52295707800246
full,32,,,,12,169.20729011219737,176.23166417951657,184.7750234897481
full,32,,,,13,197.21164395973645,204.52084809146461,209.9623894169809
full,32,,,,14,65.56919288645685,79.17723666210675,93.25039671682626
full,32,,,,15,54.643643316854764,60.52765600223866,68.55456580542852
full,32,,,,16,79.81386467413837,101.85051888750522,51.73410128684117
full,32,,,,17,34.42102209232333,29.251762228144557,27.827989340668616
full,32,,,,18,117.0701687482126,123.20888549909441,80.21546381923918
full,32,,,,19,152.45302466137835,146.38648750742004,109.60784631158589
full,32,,,,20,82.1097470631813,55.42452464105539,43.068437577168595
full,32,,,,21,101.13217011995638,98.31123227917121,99.9155943293348
full,32,,,,22,124.29638765783093,87.86880173927585,69.11083702650714
full,32,,,,23,157.91375371751164,121.16089823714498,105.91883970518515
full,32,,,,24,34.913234467843864,60.93521529634009,39.70353974767167
full,32,,,,25,69.63929794235972,93.75029086194874,40.845543994946944
full,32,,,,26,40.51785869094033,43.16506285218893,48.61352405721705
full,32,,,,27,77.36135397449266,102.27905670971364,121.72744044276887
full,32,,,,28,180.5659687184662,166.9211654894046,160.6734989909183
full,32,,,,29,143.6514504782233,104.04928464153033,86.03236898268914
full,32,,,,30,58.74529474023342,81.27074225760424,34.62104827205438
full,32,,,,31,215.19790635167692,220.57893620031166,221.83385202998957
full,64,,,,0,64.56143215347892,87.84972884716296,36.58242463117383
full,64,,,,1,186.26762579879244,195.28267625798856,203.50050633795507
