algo,k,frac,m,seed,r1,r2,r3
random,4,0.25,250000,4,1.0015099730096708,1.0015444148027042,0.9999965929502457
lightweight,4,0.5,500000,0,0.9995887766566572,0.9995756203876424,1.0000154224353748
lightweight,4,0.5,500000,1,0.9987619295926494,0.9986930016664749,1.0000295686480858
lightweight,4,0.5,500000,2,1.0002670402938454,1.0002378293678376,0.999996866477077
lightweight,4,0.5,500000,3,0.9963887692250458,0.9963440251949554,1.0000583394083296
lightweight,4,0.5,500000,4,0.9995065483699048,0.9994905804340843,0.9999967229910122
random,4,0.5,500000,0,0.9994289696442116,0.9993623385123351,1.0000354478335447
random,4,0.5,500000,1,0.9992220823684322,0.9992116810977305,1.0000167644435993
random,4,0.5,500000,2,0.9991109505027772,0.9991087166775896,1.0000071564861048
random,4,0.5,500000,3,1.0001154162360442,1.0000755018302177,1.0000137617303557
random,4,0.5,500000,4,1.0004156158039612,1.0004292542766409,0.9999867877495323
lightweight,8,0.0025,2500,0,1.0071516275812178,0.9588735653677861,1.0024219471467968
lightweight,8,0.0025,2500,1,0.9968105320987559,0.9542627057474027,1.0072941134326392
lightweight,8,0.0025,2500,2,1.0215079371676539,0.9886057750088341,1.004952339119049
lightweight,8,0.0025,2500,3,1.0222335422683426,0.9815093561228607,1.0060364077182935
lightweight,8,0.0025,2500,4,0.9525769789946514,0.943047211960434,1.0023803402447817
random,8,0.0025,2500,0,1.0067146653225756,0.9846366796618279,1.005989281219076
random,8,0.0025,2500,1,0.9832501908830261,0.9621988951008736,1.0040803139341576
random,8,0.0025,2500,2,0.9779195288403316,0.9677391637775693,1.0052010412614427
random,8,0.0025,2500,3,0.9890646734068264,0.9769578084846852,1.0075061967359207
random,8,0.0025,2500,4,1.000764145729549,0.9668397557206997,1.009285584930246
lightweight,8,0.005,5000,0,1.0022626970120159,0.9884472018255304,1.0025538357201584
lightweight,8,0.005,5000,1,0.9924309025903935,0.980135529219727,1.0016201336571442
lightweight,8,0.005,5000,2,1.0081367867052915,0.991390538750589,1.0058000662351725
lightweight,8,0.005,5000,3,1.0199196194484257,0.9949754549115369,1.0033402835836833
lightweight,8,0.005,5000,4,0.9804529255331317,0.9737411763759091,1.003657653745155
random,8,0.005,5000,0,0.9979466082595813,0.9777629354734206,1.0032758859877098
random,8,0.005,5000,1,0.9893882294677674,0.9856577736862515,1.0022757864691751
random,8,0.005,5000,2,0.9930322602869985,0.9804220581727221,1.0029780360738374
random,8,0.005,5000,3,1.0017047614423429,0.9899879537631057,1.0088920797962435
random,8,0.005,5000,4,0.9994857612721231,0.9720384187752404,1.0036376135344909
lightweight,8,0.01,10000,0,1.0117776656587067,1.001672078901879,1.0010716557516504
lightweight,8,0.01,10000,1,1.0008462819817727,0.9928404901548205,1.0009111350068276
lightweight,8,0.01,10000,2,1.0090113342444136,1.0025893365639502,1.000911758921643
lightweight,8,0.01,10000,3,1.0122738623822753,0.9982980294889324,1.0022406201599074
lightweight,8,0.01,10000,4,0.9881593279192481,0.9878196938133268,1.000409509298038
random,8,0.01,10000,0,0.9997849184761054,0.9912755718386315,1.0020887009602022
random,8,0.01,10000,1,0.9889115304269942,0.982827168169396,1.000740379411074
random,8,0.01,10000,2,0.9893030014884785,0.9873360171781939,1.0006565498212145
random,8,0.01,10000,3,1.0005751168408354,0.9969535378004631,1.0011672804379224
random,8,0.01,10000,4,1.0035986822711505,0.9899083720857752,1.0014403632396849
lightweight,8,0.05,50000,0,1.0014861035163192,0.9984032997463678,1.0005974479237218
lightweight,8,0.05,50000,1,0.9964414491227159,0.9950618405093141,1.000530677904856
lightweight,8,0.05,50000,2,1.0032262140335348,0.9984020552794862,1.0003378971324155
lightweight,8,0.05,50000,3,1.0025845430414981,1.000043178234969,1.0003655751097948
lightweight,8,0.05,50000,4,0.9980429394759843,0.9949827511402057,1.0004834649764252
random,8,0.05,50000,0,1.0001750279529782,0.9991614055659864,1.0002171045030939
random,8,0.05,50000,1,0.9996255437927932,0.9961325240588468,1.0004999385119215
random,8,0.05,50000,2,1.000030188505016,0.9940279578423526,1.0007126258212293
random,8,0.05,50000,3,1.0012726143164379,0.9949842429412663,1.0003159737599292
random,8,0.05,50000,4,1.0040430808727259,0.996228099984369,1.0002193101577816
lightweight,8,0.1,100000,0,0.9996772931929698,0.9972448811661124,1.0002250841751157
lightweight,8,0.1,100000,1,0.9973453503697132,0.9916242121312253,1.000305288607143
lightweight,8,0.1,100000,2,0.9994231067068757,0.9980730059878637,1.000198230684232
lightweight,8,0.1,100000,3,1.0001679804805141,0.999988359835821,1.0000462147553684
lightweight,8,0.1,100000,4,1.0020234400010466,0.9955887510015065,1.000839350305724
random,8,0.1,100000,0,1.0005901840286193,0.9979377643760474,1.0002010293318468
random,8,0.1,100000,1,1.0016068122619608,0.9977589312978128,1.0001061069598283
random,8,0.1,100000,2,0.9995540348307185,0.9979611913685751,1.0008162075965052
