algo,k,frac,m,seed,center_idx,x,y
random,4,0.005,5000.0,1.0,1,-7.388484235625321,-2.0789067989529624
random,4,0.005,5000.0,1.0,2,6.895354644292063,-2.92611978284814
random,4,0.005,5000.0,1.0,3,0.23557646471822746,15.138438380937403
random,4,0.005,5000.0,2.0,0,0.18830378456928276,15.540678194295275
random,4,0.005,5000.0,2.0,1,7.20445902237919,-2.5355997333526243
random,4,0.005,5000.0,2.0,2,17.938484693368558,18.01592253428396
random,4,0.005,5000.0,2.0,3,-7.145336990555509,-2.271688634312305
random,4,0.005,5000.0,3.0,0,18.01014139348352,17.912743348501436
random,4,0.005,5000.0,3.0,1,7.271218593798994,-2.448281304334719
random,4,0.005,5000.0,3.0,2,-6.832304681791592,-2.603375667998188
random,4,0.005,5000.0,3.0,3,-0.1288118561815157,15.301346851096952
random,4,0.005,5000.0,4.0,0,-7.1929437868579535,-3.0584769175724222
random,4,0.005,5000.0,4.0,1,18.061116103988052,18.12019492698819
random,4,0.005,5000.0,4.0,2,0.08847709348253208,14.840732282185206
random,4,0.005,5000.0,4.0,3,7.193282686329752,-2.773279083504665
lightweight,4,0.01,10000.0,0.0,0,7.391837543553828,-1.9303826657105336
lightweight,4,0.01,10000.0,0.0,1,-6.919505574689837,-2.6656843691733734
lightweight,4,0.01,10000.0,0.0,2,17.996080378711103,18.088631220558003
lightweight,4,0.01,10000.0,0.0,3,-0.2914180941742748,15.249767979295154
lightweight,4,0.01,10000.0,1.0,0,-7.248652108115851,-2.5494488522357006
lightweight,4,0.01,10000.0,1.0,1,18.033091318796764,18.043435931266906
lightweight,4,0.01,10000.0,1.0,2,6.951161669218659,-2.9101112413942065
lightweight,4,0.01,10000.0,1.0,3,0.23699876663635688,14.699247935971062
lightweight,4,0.01,10000.0,2.0,0,18.018292122777485,17.978381139917225
lightweight,4,0.01,10000.0,2.0,1,-7.080097045261943,-3.0790178257205074
lightweight,4,0.01,10000.0,2.0,2,-0.16384785391200918,14.906702892041267
lightweight,4,0.01,10000.0,2.0,3,7.268680646401695,-2.597127318274927
lightweight,4,0.01,10000.0,3.0,0,7.282362770493712,-2.2239134100542515
lightweight,4,0.01,10000.0,3.0,1,18.01745524343176,17.93512410476282
lightweight,4,0.01,10000.0,3.0,2,-7.101441524356843,-2.284578497622025
lightweight,4,0.01,10000.0,3.0,3,0.021312772464761487,15.434390681080828
lightweight,4,0.01,10000.0,4.0,0,7.0054891910936625,-2.797980104120473
lightweight,4,0.01,10000.0,4.0,1,17.95872350154161,17.968386638211186
lightweight,4,0.01,10000.0,4.0,2,-7.285756861301059,-2.166939557942431
lightweight,4,0.01,10000.0,4.0,3,-0.04502998175673234,15.646658991207891
random,4,0.01,10000.0,0.0,0,-6.9471836770748014,-2.6712857469739646
random,4,0.01,10000.0,0.0,1,17.96246192097843,18.008858984723563
random,4,0.01,10000.0,0.0,2,0.10881748084391596,15.273357332022675
random,4,0.01,10000.0,0.0,3,7.256268088826236,-2.4265316177651393
random,4,0.01,10000.0,1.0,0,-7.299212058293816,-2.184951674525916
random,4,0.01,10000.0,1.0,1,0.22318449625371617,15.127781492020418
random,4,0.01,10000.0,1.0,2,6.921559385740222,-2.951744882878998
random,4,0.01,10000.0,1.0,3,17.899538957919294,18.00077180524032
random,4,0.01,10000.0,2.0,0,7.163558469344107,-2.4195679123095246
random,4,0.01,10000.0,2.0,1,-7.028502612931933,-2.5288160377351314
random,4,0.01,10000.0,2.0,2,17.901587449584863,18.02632381017986
random,4,0.01,10000.0,2.0,3,-0.04158228814744369,15.213412534173665
random,4,0.01,10000.0,3.0,0,-0.11942667359692738,15.184492889614196
random,4,0.01,10000.0,3.0,1,-6.943100389198478,-2.664055409095983
random,4,0.01,10000.0,3.0,2,7.305357242280396,-2.2669379791966673
random,4,0.01,10000.0,3.0,3,17.91916498004345,17.97042848311454
random,4,0.01,10000.0,4.0,0,7.085115590990927,-2.6960422268002873
random,4,0.01,10000.0,4.0,1,-7.202480310178756,-2.6804184291479523
random,4,0.01,10000.0,4.0,2,0.1645570719452163,15.097134871264998
random,4,0.01,10000.0,4.0,3,17.88100940881068,18.020632018702386
lightweight,4,0.05,50000.0,0.0,0,7.212720805296193,-2.366858960299675
lightweight,4,0.05,50000.0,0.0,1,-7.0486135214764305,-2.5702786928372543
lightweight,4,0.05,50000.0,0.0,2,17.982620434564407,18.019942328187394
lightweight,4,0.05,50000.0,0.0,3,-0.15333840436091517,15.23043066893256
lightweight,4,0.05,50000.0,1.0,0,-7.209536733159083,-2.543816199218245
lightweight,4,0.05,50000.0,1.0,1,7.030946287399249,-2.7232923916139047
lightweight,4,0.05,50000.0,1.0,2,17.969792748931418,17.984750054624
lightweight,4,0.05,50000.0,1.0,3,-0.04582739391280466,15.135341052383476
lightweight,4,0.05,50000.0,2.0,0,-7.037793479204574,-2.7131900315284962
lightweight,4,0.05,50000.0,2.0,1,17.975095602848484,18.018056158869776
lightweight,4,0.05,50000.0,2.0,2,-0.13753321544956432,15.17049256614977
lightweight,4,0.05,50000.0,2.0,3,7.2192575462519795,-2.3472857236910922
lightweight,4,0.05,50000.0,3.0,0,-0.0655373990820296,15.36574764105052
lightweight,4,0.05,50000.0,3.0,1,7.207161418450546,-2.33246534678867
lightweight,4,0.05,50000.0,3.0,2,17.98180001575446,17.954759893034144
