algo,k,frac,m,seed,center_idx,R,G,B
lightweight,2,0.25,152950.0,3.0,1,212.29023147086565,218.25636551379228,218.78164531063635
lightweight,2,0.25,152950.0,4.0,0,212.0180301998488,217.99759289590827,218.9700452661215
lightweight,2,0.25,152950.0,4.0,1,76.47984895528994,114.21489212700277,188.8966760374863
random,2,0.25,152950.0,0.0,0,211.65039692384022,217.71830811213107,219.05898040188524
random,2,0.25,152950.0,0.0,1,76.64227657824775,114.25863948440417,188.66475740595538
random,2,0.25,152950.0,1.0,0,212.1141078409066,218.0889780553891,218.78390452749784
random,2,0.25,152950.0,1.0,1,76.52491849982309,114.10919589678896,188.8964063441076
random,2,0.25,152950.0,2.0,0,211.8926811160836,217.68249778309345,218.82429729228107
random,2,0.25,152950.0,2.0,1,76.51715984261742,114.20096880115642,188.6593208818771
random,2,0.25,152950.0,3.0,0,76.58029415964586,114.31897758103676,188.9361321338474
random,2,0.25,152950.0,3.0,1,211.85830289113898,217.833858678635,219.08809101346424
random,2,0.25,152950.0,4.0,0,212.520436706747,218.35662992651982,218.50340263861045
random,2,0.25,152950.0,4.0,1,76.57872741465658,114.27056718009248,189.05831730860768
lightweight,2,0.5,305900.0,0.0,0,76.33678841795,114.23514806302902,188.8132225023275
lightweight,2,0.5,305900.0,0.0,1,211.9529539504656,217.88949130000702,218.78861099096122
lightweight,2,0.5,305900.0,1.0,0,211.891585993979,217.95236289538974,218.84345057557093
lightweight,2,0.5,305900.0,1.0,1,76.43908549626141,114.21922572174489,188.86673186443008
lightweight,2,0.5,305900.0,2.0,0,211.92981123603062,217.88878134205896,218.95418011454086
lightweight,2,0.5,305900.0,2.0,1,76.6408643409755,114.280626287626,188.86925469189305
lightweight,2,0.5,305900.0,3.0,0,212.21120412706944,218.18569719587967,218.93895262598951
lightweight,2,0.5,305900.0,3.0,1,76.4892229725078,114.2332434657661,188.86522140640525
lightweight,2,0.5,305900.0,4.0,0,76.6533625908709,114.33375765705829,188.89208036708192
lightweight,2,0.5,305900.0,4.0,1,212.2523764790362,218.17699859312202,219.15518103800983
random,2,0.5,305900.0,0.0,0,212.24220164394887,218.0547497658933,218.90828217667237
random,2,0.5,305900.0,0.0,1,76.7192192192193,114.26135659469023,188.76403546403537
random,2,0.5,305900.0,1.0,0,212.16226332925413,218.12602393148183,218.9849443188651
random,2,0.5,305900.0,1.0,1,76.60025876309382,114.18775124368555,188.8693628316894
random,2,0.5,305900.0,2.0,0,76.53946727767388,114.24609766575949,188.88366031791492
random,2,0.5,305900.0,2.0,1,212.21909552950922,218.01758116377914,218.89659786329196
random,2,0.5,305900.0,3.0,0,211.9269748658158,217.86096778547136,218.83456702968124
random,2,0.5,305900.0,3.0,1,76.51222700964351,114.3190378715228,188.90774751046158
random,2,0.5,305900.0,4.0,0,76.61619380662265,114.31278415732002,188.89448549932976
random,2,0.5,305900.0,4.0,1,212.26188868925885,218.24146060297693,218.78308010260787
lightweight,4,0.0025,1530.0,0.0,0,95.67386684802888,60.71740855663067,115.19053259720847
lightweight,4,0.0025,1530.0,0.0,1,72.45058550698138,118.8955832340369,201.62300989202456
lightweight,4,0.0025,1530.0,0.0,2,212.40139232041537,220.97508884634556,241.1091867266586
lightweight,4,0.0025,1530.0,0.0,3,207.66941166573312,203.68633082999608,95.15322131150673
lightweight,4,0.0025,1530.0,1.0,0,209.3154350452474,217.66197553155337,240.8430156767286
lightweight,4,0.0025,1530.0,1.0,1,72.62227885733168,118.50806444208717,202.11734421880374
lightweight,4,0.0025,1530.0,1.0,2,209.28872632759004,203.55699172877854,92.38167675294119
lightweight,4,0.0025,1530.0,1.0,3,105.46894582143454,59.75788208724195,104.07529149758756
lightweight,4,0.0025,1530.0,2.0,0,182.43221913255016,170.543396912798,89.72202628487074
lightweight,4,0.0025,1530.0,2.0,1,230.5668079762233,237.38306999896363,239.35739121813862
lightweight,4,0.0025,1530.0,2.0,2,151.23808101444118,166.41240126477788,228.48167601112746
lightweight,4,0.0025,1530.0,2.0,3,64.3012656077379,110.98292416797665,195.9530611486961
lightweight,4,0.0025,1530.0,3.0,0,107.08621681770386,71.36483394490529,100.34463773604708
lightweight,4,0.0025,1530.0,3.0,1,72.0328760698078,115.94985251772835,200.72807550157208
lightweight,4,0.0025,1530.0,3.0,2,206.77890875376553,216.84827970775316,240.38624669553263
lightweight,4,0.0025,1530.0,3.0,3,208.75032233260714,212.24659456254858,102.41992832711098
lightweight,4,0.0025,1530.0,4.0,0,65.89222588343208,108.46802690219386,193.90503069884903
lightweight,4,0.0025,1530.0,4.0,1,147.10899338733086,163.12045631185228,226.55528809865476
lightweight,4,0.0025,1530.0,4.0,2,201.65335561353388,181.29401418158676,87.16750739329294
lightweight,4,0.0025,1530.0,4.0,3,229.4776000994692,235.5551346271851,241.06127890419484
random,4,0.0025,1530.0,0.0,0,64.33953488372086,109.92790697674414,195.59651162790698
random,4,0.0025,1530.0,0.0,1,227.3286713286713,233.94055944055944,239.14685314685315
random,4,0.0025,1530.0,0.0,2,187.28472222222223,165.54861111111111,84.1527777777778
random,4,0.0025,1530.0,0.0,3,142.88333333333333,155.84166666666667,225.0583333333333
random,4,0.0025,1530.0,1.0,0,226.8393442622951,233.74426229508197,236.82622950819672
random,4,0.0025,1530.0,1.0,1,141.41322314049586,155.86776859504133,224.0206611570248
random,4,0.0025,1530.0,1.0,2,64.15375586854452,110.76643192488257,195.77347417840375
random,4,0.0025,1530.0,1.0,3,180.58778625954199,150.01526717557252,80.85496183206108
random,4,0.0025,1530.0,2.0,0,63.577883472056975,110.47800237812123,196.00118906064208
random,4,0.0025,1530.0,2.0,1,228.1645569620253,236.30696202531647,241.34177215189874
random,4,0.0025,1530.0,2.0,2,174.16176470588235,157.96323529411765,78.5220588235294
random,4,0.0025,1530.0,2.0,3,143.39240506329114,159.69198312236287,224.85654008438817
random,4,0.0025,1530.0,3.0,0,70.05920344456396,117.04628632938636,200.69214208826696
random,4,0.0025,1530.0,3.0,1,209.84000000000006,220.19250000000005,241.00000000000003
random,4,0.0025,1530.0,3.0,2,213.98095238095243,214.6666666666667,101.13333333333328
random,4,0.0025,1530.0,3.0,3,100.01041666666666,55.343749999999986,97.66666666666667
random,4,0.0025,1530.0,4.0,0,70.9490986214209,118.3213149522799,201.22905620360552
random,4,0.0025,1530.0,4.0,1,212.63157894736844,213.61403508771932,96.6754385964912
random,4,0.0025,1530.0,4.0,2,116.45054945054945,65.53846153846152,106.99999999999997
random,4,0.0025,1530.0,4.0,3,207.54712041884824,215.71727748691103,239.89005235602096
lightweight,4,0.005,3059.0,0.0,0,212.95845495104336,221.29613176481655,241.00115290991448
lightweight,4,0.005,3059.0,0.0,1,71.5350221553437,118.23200318281229,201.21757788954264
lightweight,4,0.005,3059.0,0.0,2,207.79824368136985,203.29163626445876,95.7122456829023
lightweight,4,0.005,3059.0,0.0,3,93.99292077165336,57.607336068685214,114.38734920106396
lightweight,4,0.005,3059.0,1.0,0,72.20801596258012,118.46599661955597,201.71213050468455
lightweight,4,0.005,3059.0,1.0,1,209.92140058511222,217.70329071558552,239.8503126839074
lightweight,4,0.005,3059.0,1.0,2,205.6657274796785,204.3327508652358,91.8421636302486
lightweight,4,0.005,3059.0,1.0,3,98.53994280978515,55.34692016081431,108.96912966444783
lightweight,4,0.005,3059.0,2.0,0,144.45327792120125,162.57351107927698,225.84157951980163
lightweight,4,0.005,3059.0,2.0,1,228.19504975041843,234.65802296303133,240.442483393287
lightweight,4,0.005,3059.0,2.0,2,186.91615559233315,173.29512894248114,86.67530189672617
lightweight,4,0.005,3059.0,2.0,3,63.747147690324475,110.34610229756181,195.62669699811832
lightweight,4,0.005,3059.0,3.0,0,71.49578628530512,117.36229482519938,201.142116734171
lightweight,4,0.005,3059.0,3.0,1,208.30256690296284,217.28913314929054,240.83745349353967
lightweight,4,0.005,3059.0,3.0,2,208.83390267808176,211.6314095012657,102.1394994997011
lightweight,4,0.005,3059.0,3.0,3,101.81570630995718,63.452068510149786,103.4939077737538
lightweight,4,0.005,3059.0,4.0,0,208.98358461946094,205.39316981568751,92.85866693429456
lightweight,4,0.005,3059.0,4.0,1,71.91243468746936,117.69301880710333,201.41014038001893
lightweight,4,0.005,3059.0,4.0,2,94.11654941505815,53.43352465236413,120.0364680563807
lightweight,4,0.005,3059.0,4.0,3,208.56735943559357,217.96046435328822,239.43306674338714
random,4,0.005,3059.0,0.0,0,210.08482142857144,208.86607142857144,95.91071428571428
random,4,0.005,3059.0,0.0,1,73.17819706498952,117.92714884696016,201.59381551362682
random,4,0.005,3059.0,0.0,2,207.29071332436072,216.19650067294754,241.15881561238223
random,4,0.005,3059.0,0.0,3,104.85326086956522,59.83152173913044,116.08695652173911
random,4,0.005,3059.0,1.0,0,63.917495611468695,110.55412521942657,195.5593914569924
random,4,0.005,3059.0,1.0,1,140.61425576519915,155.23480083857442,224.23899371069183
random,4,0.005,3059.0,1.0,2,180.7816091954023,160.37164750957854,81.30651340996171
random,4,0.005,3059.0,1.0,3,226.2075163398693,233.25326797385623,239.12254901960785
random,4,0.005,3059.0,2.0,0,182.96864111498257,164.8397212543554,81.72473867595819
random,4,0.005,3059.0,2.0,1,64.29947765525247,110.65118978525828,196.03250145095762
random,4,0.005,3059.0,2.0,2,148.0735294117647,164.41596638655463,226.3235294117647
random,4,0.005,3059.0,2.0,3,229.9546247818499,237.05584642233856,239.77137870855148
random,4,0.005,3059.0,3.0,0,71.53028692879916,117.8836344314559,201.03188097768333
random,4,0.005,3059.0,3.0,1,208.46675191815856,218.33503836317135,239.92838874680308
random,4,0.005,3059.0,3.0,2,97.00578034682081,53.4450867052023,101.02312138728325
random,4,0.005,3059.0,3.0,3,210.56306306306305,206.57207207207207,95.3063063063063
random,4,0.005,3059.0,4.0,0,225.78865979381442,233.27319587628864,241.65120274914088
