algo,k,frac,m,seed,r1,r2,r3
lightweight,8,0.05,30590,2,1.0062899061052388,1.0051687436254777,1.0005916289129582
lightweight,8,0.05,30590,3,1.0025059957720013,1.0010371849213682,1.0006626206446612
lightweight,8,0.05,30590,4,1.0040542618685708,1.0028456194835065,1.0006520300303374
random,8,0.05,30590,0,0.997511929098793,0.9873647260070743,1.009253333052427
random,8,0.05,30590,1,0.994337382770328,0.9923206857978886,1.000874914034711
random,8,0.05,30590,2,1.0059809049105968,1.001806093021931,1.002198084003836
random,8,0.05,30590,3,1.0007606422373856,0.9970867393623302,1.0018680713253088
random,8,0.05,30590,4,0.993240062825528,0.9920590728899212,1.0003923084764506
lightweight,8,0.1,61180,0,0.9900984500383471,0.9893211484926231,1.0001732964041878
lightweight,8,0.1,61180,1,0.9990071746086017,0.9981283103201473,1.0004493482354877
lightweight,8,0.1,61180,2,1.0036780847651496,1.0030892547053236,1.0005772972043772
lightweight,8,0.1,61180,3,0.9996427144417342,0.9986729003198535,1.0003840628033827
lightweight,8,0.1,61180,4,0.9968971669311892,0.9964039592324153,1.000365812749481
random,8,0.1,61180,0,1.0041699704606462,1.003395045764313,1.0004619382834978
random,8,0.1,61180,1,0.9962143158031043,0.9950395995099004,1.0005731872755321
random,8,0.1,61180,2,1.0022451536636892,1.0004425853159171,1.0010725557157985
random,8,0.1,61180,3,1.0034659844193894,1.0010771221045955,1.0010624030238668
random,8,0.1,61180,4,0.9975177224171182,0.9963718306491034,1.0007005535644868
lightweight,8,0.25,152950,0,0.9949647715954074,0.9947539079914464,1.0000406570170084
lightweight,8,0.25,152950,1,0.9981735149549733,0.9980315949398565,1.0000408854503475
lightweight,8,0.25,152950,2,1.0003484770349984,1.000191384617646,1.0000400237019953
lightweight,8,0.25,152950,3,0.9989422250569956,0.9985472241023413,1.0001978159694898
lightweight,8,0.25,152950,4,1.0011193602225132,1.0008070280825219,1.0001639484421807
