algo,k,frac,m,seed,center_idx,Lon,Lat
random,2,0.005,3711.0,3.0,0,-73.9612214990138,40.76697179487179
random,2,0.005,3711.0,3.0,1,-73.99006616438356,40.725145114155254
random,2,0.005,3711.0,4.0,0,-73.9891323117338,40.725452451838876
random,2,0.005,3711.0,4.0,1,-73.96110658724596,40.76759663629993
lightweight,2,0.01,7423.0,0.0,0,-73.9594220995601,40.768003749790026
lightweight,2,0.01,7423.0,0.0,1,-73.99050371102973,40.725753635132556
lightweight,2,0.01,7423.0,1.0,0,-73.99025585541558,40.725893114595216
lightweight,2,0.01,7423.0,1.0,1,-73.96075832068459,40.76764650268866
lightweight,2,0.01,7423.0,2.0,0,-73.96391602887876,40.76619992696277
lightweight,2,0.01,7423.0,2.0,1,-73.99029539264744,40.722798879303866
lightweight,2,0.01,7423.0,3.0,0,-73.96468952382737,40.76562463790925
lightweight,2,0.01,7423.0,3.0,1,-73.99048266460613,40.72301853324646
lightweight,2,0.01,7423.0,4.0,0,-73.99012388748365,40.722960938763904
lightweight,2,0.01,7423.0,4.0,1,-73.96440154071092,40.765592913063436
random,2,0.01,7423.0,0.0,0,-73.99027969043152,40.723501407129454
random,2,0.01,7423.0,0.0,1,-73.96381038303261,40.766189870212095
random,2,0.01,7423.0,1.0,0,-73.96347598643649,40.76630487053021
random,2,0.01,7423.0,1.0,1,-73.99026221584111,40.723316367552044
random,2,0.01,7423.0,2.0,0,-73.99026458628842,40.723234822695034
random,2,0.01,7423.0,2.0,1,-73.9644847165675,40.76636767929847
random,2,0.01,7423.0,3.0,0,-73.99009503436045,40.72579709598759
random,2,0.01,7423.0,3.0,1,-73.96019402472527,40.76761191620879
random,2,0.01,7423.0,4.0,0,-73.99030269788183,40.72563253065775
random,2,0.01,7423.0,4.0,1,-73.96102825051055,40.76678645336964
lightweight,2,0.05,37113.0,0.0,0,-73.99004211540775,40.72399541409796
lightweight,2,0.05,37113.0,0.0,1,-73.96256429737447,40.767121346337476
lightweight,2,0.05,37113.0,1.0,0,-73.99018540449403,40.725041140147994
lightweight,2,0.05,37113.0,1.0,1,-73.96142932389402,40.76724772677958
lightweight,2,0.05,37113.0,2.0,0,-73.9639126926762,40.76618815197999
lightweight,2,0.05,37113.0,2.0,1,-73.99029875335444,40.72329327453966
lightweight,2,0.05,37113.0,3.0,0,-73.96351420396036,40.76624898431922
lightweight,2,0.05,37113.0,3.0,1,-73.9906016880575,40.72374152539428
lightweight,2,0.05,37113.0,4.0,0,-73.96343953329156,40.76626900263843
lightweight,2,0.05,37113.0,4.0,1,-73.99030881356606,40.723558587865746
random,2,0.05,37113.0,0.0,0,-73.96354355194354,40.766432281232284
random,2,0.05,37113.0,0.0,1,-73.99036639359699,40.72349791431262
