algo,k,frac,m,seed,r1,r2,r3
lightweight,16,0.005,3711,2,1.0217954087130456,1.003839345421843,0.9958256635852913
lightweight,16,0.005,3711,3,1.0268742652889302,1.0068507042792696,1.0131023410740627
lightweight,16,0.005,3711,4,1.0028085048324646,0.9813096351138783,0.996885793381835
random,16,0.005,3711,0,1.009906257169728,0.9721731486088592,1.0168918728108152
random,16,0.005,3711,1,1.0371114613732886,1.019878214264924,1.0032952266179649
random,16,0.005,3711,2,0.9344621468057942,0.9193389958133533,1.0098028912800847
random,16,0.005,3711,3,0.9492544937513616,0.9249279998868998,1.0135481711044187
random,16,0.005,3711,4,1.051901476022177,1.010785824533029,1.0194951976417292
lightweight,16,0.01,7423,0,1.0076374873977632,0.9973201001806123,1.0002558823999341
lightweight,16,0.01,7423,1,0.9880408643234818,0.98140182728024,0.9955257754220002
lightweight,16,0.01,7423,2,0.9975146938468545,0.9889232004022441,1.0039779175741905
lightweight,16,0.01,7423,3,1.0236661450650788,1.010655119022014,0.9939980667766187
lightweight,16,0.01,7423,4,0.9975349748934824,0.9898664274041777,0.9947874406026035
random,16,0.01,7423,0,1.0008755669665013,0.9796424735328099,0.9920344215107765
random,16,0.01,7423,1,1.0053874037255726,0.9945172400935901,1.0049712194011524
random,16,0.01,7423,2,0.9559004445290595,0.9479219655073903,0.9933387542580484
random,16,0.01,7423,3,0.9635601641956723,0.9705694813938573,0.9935131190037984
random,16,0.01,7423,4,1.0401451140381408,1.0297184749677513,1.0049706681647392
lightweight,16,0.05,37113,0,1.0006450327474385,1.0033114668123881,0.9908466437562058
lightweight,16,0.05,37113,1,1.0041312400978497,1.003099520420276,1.0072077114485398
lightweight,16,0.05,37113,2,1.0081422469650458,1.010936075110223,0.9897609701108373
lightweight,16,0.05,37113,3,0.9982204867424318,0.998772869744904,0.9893478739797531
lightweight,16,0.05,37113,4,0.9963558540695897,0.9948297382625293,0.9895124807794314
random,16,0.05,37113,0,1.0005798766567848,0.9946743963275448,0.9895730302899463
random,16,0.05,37113,1,0.9874934807740062,0.9843097119258181,1.0015774769731893
random,16,0.05,37113,2,0.9906581280792258,0.9918023099434192,0.9901142254969024
random,16,0.05,37113,3,0.9697960587815199,0.9789105449650476,0.9908020989729581
random,16,0.05,37113,4,1.0170295808800391,1.0244748303458555,0.9906402746079973
lightweight,16,0.1,74226,0,1.0026083193173443,1.0026931532292915,0.989767860333123
lightweight,16,0.1,74226,1,1.0016846974434543,1.0034993826247798,0.9895555078388608
lightweight,16,0.1,74226,2,1.0030157115600247,1.0025473224965402,0.9999281668252002
