algo,k,frac,m,seed,center_idx,latitude,longitude,price
random,2,0.25,2010.0,2.0,1,37.77273247870445,-122.41979099258944,249.60196905766523
random,2,0.25,2010.0,3.0,0,37.717008474264624,-122.46390831728618,157.06591639871385
random,2,0.25,2010.0,3.0,1,37.77156486740805,-122.41914234753723,233.00216138328528
random,2,0.25,2010.0,4.0,0,37.70770105372929,-122.46210389532686,157.03801652892565
random,2,0.25,2010.0,4.0,1,37.77284227078545,-122.41943967375312,262.9217081850534
lightweight,2,0.5,4020.0,0.0,0,37.709149520267026,-122.46189141415293,158.01204686403986
lightweight,2,0.5,4020.0,0.0,1,37.77294476277179,-122.41943406727528,242.36068203679085
lightweight,2,0.5,4020.0,1.0,0,37.77177444015171,-122.4188732235985,248.14826261446674
lightweight,2,0.5,4020.0,1.0,1,37.71219589449908,-122.46282297441621,164.2416990910365
lightweight,2,0.5,4020.0,2.0,0,37.713092531385406,-122.46210131013522,158.39560161407792
lightweight,2,0.5,4020.0,2.0,1,37.77328866653903,-122.41860717310402,252.76163622538328
lightweight,2,0.5,4020.0,3.0,0,37.715285164673844,-122.46390602798353,154.86051648133343
lightweight,2,0.5,4020.0,3.0,1,37.77212076957136,-122.41951824961839,255.98902291793274
lightweight,2,0.5,4020.0,4.0,0,37.772321523841235,-122.41914941100558,248.84797594793204
lightweight,2,0.5,4020.0,4.0,1,37.710212074033464,-122.46308140418077,158.01593724855667
random,2,0.5,4020.0,0.0,0,37.71175992873317,-122.46295691399821,154.9959903769046
random,2,0.5,4020.0,0.0,1,37.773126154139675,-122.41975071303341,255.73999278759464
random,2,0.5,4020.0,1.0,0,37.77245062154327,-122.41961645091632,246.8450405930109
random,2,0.5,4020.0,1.0,1,37.71155884111339,-122.46364865706323,161.50379106992418
random,2,0.5,4020.0,2.0,0,37.77247653240807,-122.41982670834085,255.87344472093847
random,2,0.5,4020.0,2.0,1,37.70988957818504,-122.46284438052264,157.6777133388567
random,2,0.5,4020.0,3.0,0,37.77211870084737,-122.41898752158127,249.5612762871646
random,2,0.5,4020.0,3.0,1,37.713309732789895,-122.46389776767812,158.30982567353408
random,2,0.5,4020.0,4.0,0,37.70870968831253,-122.4626552177699,159.22868852459018
random,2,0.5,4020.0,4.0,1,37.77292799708327,-122.41936238068593,252.8092857142857
lightweight,4,0.0025,20.0,0.0,0,37.77649890947233,-122.45814314124536,197.6891129615535
lightweight,4,0.0025,20.0,0.0,1,37.76213380879917,-122.41682081988046,220.73955256244724
lightweight,4,0.0025,20.0,0.0,2,37.74655111223411,-122.40618494734015,1693.0087534181607
lightweight,4,0.0025,20.0,0.0,3,37.66748832276603,-122.45295213833177,134.68415816819515
lightweight,4,0.0025,20.0,1.0,0,37.767192650636325,-122.41676817993184,171.17822846619475
lightweight,4,0.0025,20.0,1.0,1,37.689537633469676,-122.47284311122263,99.88209198683037
lightweight,4,0.0025,20.0,1.0,2,37.771777468008004,-122.44336069856953,590.8802931025543
lightweight,4,0.0025,20.0,1.0,3,37.7606762154962,-122.47913205232459,129.88899191590298
lightweight,4,0.0025,20.0,2.0,0,37.7478819480792,-122.45698384069244,128.94363403362564
lightweight,4,0.0025,20.0,2.0,1,37.76511429814223,-122.4144533307843,220.73122786953456
lightweight,4,0.0025,20.0,2.0,2,37.78201888143917,-122.4092596899831,1802.9999999999998
lightweight,4,0.0025,20.0,2.0,3,37.666377413667504,-122.47333495927323,136.9663659720955
lightweight,4,0.0025,20.0,3.0,0,37.771225545444686,-122.41079816274976,194.6677093742426
lightweight,4,0.0025,20.0,3.0,1,37.76663495946908,-122.45679295862281,162.2848355079364
lightweight,4,0.0025,20.0,3.0,2,37.781397708059934,-122.4324157876905,1386.4465353911987
lightweight,4,0.0025,20.0,3.0,3,37.635482536380394,-122.44068535670425,71.18639255195427
lightweight,4,0.0025,20.0,4.0,0,37.755868398768925,-122.4137428969616,104.42671524839321
lightweight,4,0.0025,20.0,4.0,1,37.773778780017096,-122.42998358321817,585.0442345831635
lightweight,4,0.0025,20.0,4.0,2,37.6399621448871,-122.4167159789631,83.83967336298977
lightweight,4,0.0025,20.0,4.0,3,37.74972683582746,-122.46629994300375,119.70396867439635
random,4,0.0025,20.0,0.0,0,37.74677777777778,-122.42527333333334,214.66666666666666
random,4,0.0025,20.0,0.0,1,37.771992,-122.45657,173.0
random,4,0.0025,20.0,0.0,2,37.777906200000004,-122.4069288,131.2
random,4,0.0025,20.0,0.0,3,37.66689,-122.48757,70.0
random,4,0.0025,20.0,1.0,0,37.778421629882466,-122.41463959274292,176.2
random,4,0.0025,20.0,1.0,1,37.76063375,-122.4684075,121.875
random,4,0.0025,20.0,1.0,2,37.689231666666664,-122.45550166666666,157.83333333333334
random,4,0.0025,20.0,1.0,3,37.79341,-122.43478,800.0
random,4,0.0025,20.0,2.0,0,37.73679748333333,-122.4456225,159.5
random,4,0.0025,20.0,2.0,1,37.78809,-122.40734,1803.0
random,4,0.0025,20.0,2.0,2,37.77576237520867,-122.410069141598,152.90909090909093
random,4,0.0025,20.0,2.0,3,37.72291,-122.49620999999999,532.0
random,4,0.0025,20.0,3.0,0,37.7890625,-122.40954,178.25
random,4,0.0025,20.0,3.0,1,37.65525067962646,-122.47596456359862,193.5
random,4,0.0025,20.0,3.0,2,37.759863812354766,-122.43940033724353,364.40000000000003
random,4,0.0025,20.0,3.0,3,37.728519311949,-122.40682476988303,115.42857142857143
random,4,0.0025,20.0,4.0,0,37.78241527224457,-122.41462323932205,701.3333333333333
random,4,0.0025,20.0,4.0,1,37.77038000325951,-122.47727532950015,102.2
random,4,0.0025,20.0,4.0,2,37.654534999999996,-122.409695,161.0
random,4,0.0025,20.0,4.0,3,37.77179379972056,-122.41637362592186,193.3
lightweight,4,0.005,40.0,0.0,0,37.76921122464564,-122.42578954384338,261.4358845224769
lightweight,4,0.005,40.0,0.0,1,37.651625090914756,-122.44651569939181,165.3648343030379
lightweight,4,0.005,40.0,0.0,2,37.73795989143211,-122.4702141571328,190.10209504980398
lightweight,4,0.005,40.0,0.0,3,37.760325568397754,-122.41387020344003,1591.7761880006185
lightweight,4,0.005,40.0,1.0,0,37.77347404508633,-122.44101320442145,666.3949206635291
lightweight,4,0.005,40.0,1.0,1,37.68342344154685,-122.4441573771295,92.89197683014245
lightweight,4,0.005,40.0,1.0,2,37.76713803639744,-122.41715203303347,173.4805332153169
lightweight,4,0.005,40.0,1.0,3,37.76400345933048,-122.48193631969596,156.94457776945202
lightweight,4,0.005,40.0,2.0,0,37.74191713252198,-122.40701640576562,158.16505420964828
lightweight,4,0.005,40.0,2.0,1,37.73342752367198,-122.46294476059039,127.91903455434533
lightweight,4,0.005,40.0,2.0,2,37.775651770757015,-122.41030756384127,1643.300043650777
lightweight,4,0.005,40.0,2.0,3,37.789354101954906,-122.41945246219592,209.17021308670041
lightweight,4,0.005,40.0,3.0,0,37.76323252039843,-122.4786631464032,129.02047429445815
lightweight,4,0.005,40.0,3.0,1,37.776745409176,-122.41881862286591,194.7791533726965
lightweight,4,0.005,40.0,3.0,2,37.782661328576516,-122.42903777157905,1441.7237215399662
lightweight,4,0.005,40.0,3.0,3,37.68841460580345,-122.44053650113557,169.84376381992018
lightweight,4,0.005,40.0,4.0,0,37.742483901814246,-122.4730229414601,136.80998162075434
lightweight,4,0.005,40.0,4.0,1,37.77616906119173,-122.41208027442731,127.1601929102614
lightweight,4,0.005,40.0,4.0,2,37.674400621719286,-122.41473139247509,151.834379823451
lightweight,4,0.005,40.0,4.0,3,37.77999325195986,-122.43084785828049,539.9770564118601
random,4,0.005,40.0,0.0,0,37.7699854,-122.40855826666666,136.13333333333333
